% 2013-11-12 21:26:09.004000
% {
%   "maps": [
%     "normalize_date",
%     "day_and_time",
%     "calculate_traffic"
%   ],
%   "filters": [
%     "has_weather"
%   ],
%   "attributes": [
%     [
%       "hour",
%       "hour",
%       "NOMINAL"
%     ],
%     [
%       "day",
%       "day",
%       "NOMINAL"
%     ],
%     [
%       "weather",
%       "weather.current_observation.weather",
%       "NOMINAL"
%     ],
%     [
%       "weekend",
%       "weekend",
%       "NOMINAL"
%     ],
%     [
%       "traffic_level",
%       "traffic_level",
%       "NUMERIC"
%     ]
%   ]
% }

@RELATION 'TrafficData'

@ATTRIBUTE 'hour' {'0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '14', '15', '16', '17', '18', '19', '20', '21', '22', '23'}
@ATTRIBUTE 'day' {'0', '1', '2', '3', '4', '5', '6'}
@ATTRIBUTE 'weather' {'Mostly-Cloudy', 'Shallow-Fog', 'Clear', 'Overcast', 'Rain', 'Scattered-Clouds', 'Haze', 'Fog', 'Partly-Cloudy'}
@ATTRIBUTE 'weekend' {'False', 'True'}
@ATTRIBUTE 'traffic_level' 'NUMERIC'

@DATA
9,3,Clear,False,0.212840195394
9,3,Partly-Cloudy,False,0.156555772994
9,3,Clear,False,0.0941313190006
9,3,Partly-Cloudy,False,0.474452554745
10,3,Clear,False,0.303206997085
10,3,Clear,False,0.0314026517795
11,3,Clear,False,0.249271137026
16,3,Clear,False,0.558971141782
16,3,Clear,False,0.127221702526
17,3,Clear,False,0.424384525205
17,3,Clear,False,0.420449897751
17,3,Clear,False,1.490803485
17,3,Clear,False,0.962988826816
17,3,Clear,False,0.717223650386
17,3,Clear,False,0.983677388382
17,3,Clear,False,1.05957446809
17,3,Clear,False,1.02280912365
18,3,Clear,False,1.93485793486
18,3,Clear,False,1.95357242146
18,3,Clear,False,1.70465489567
19,3,Clear,False,0.111623616236
19,3,Clear,False,0.238327526132
19,3,Clear,False,0.147935779817
19,3,Clear,False,0.153788447112
19,3,Clear,False,0.596685082873
19,3,Clear,False,1.11175979983
19,3,Clear,False,0.915841584158
19,3,Clear,False,0.227215189873
20,3,Clear,False,0.125737898465
20,3,Clear,False,0.149865229111
20,3,Clear,False,0.181012658228
21,3,Clear,False,0.15987460815
1,4,Clear,False,0.0969601677149
6,4,Clear,False,0.131458469588
7,4,Clear,False,0.114372469636
7,4,Clear,False,0.0980603448276
8,4,Clear,False,0.291666666667
8,4,Clear,False,0.596469872185
8,4,Clear,False,0.128913443831
8,4,Clear,False,0.435470779221
8,4,Clear,False,0.461246200608
9,4,Clear,False,0.181494661922
9,4,Clear,False,0.79296875
9,4,Clear,False,0.359281437126
9,4,Clear,False,0.310988251555
9,4,Clear,False,0.1640625
9,4,Clear,False,0.551908396947
9,4,Clear,False,0.2348565356
10,4,Clear,False,0.386259541985
10,4,Clear,False,0.163120567376
12,4,Clear,False,0.20412371134
12,4,Clear,False,0.11375464684
13,4,Clear,False,0.303989592368
13,4,Clear,False,0.849
13,4,Clear,False,0.247048138056
15,4,Clear,False,0.540780141844
15,4,Clear,False,1.02498864153
15,4,Clear,False,0.49945115258
16,4,Clear,False,1.27387486279
16,4,Clear,False,0.284960422164
16,4,Clear,False,0.773115773116
16,4,Clear,False,0.313877307921
17,4,Clear,False,1.07488653555
17,4,Clear,False,0.244239631336
17,4,Clear,False,0.431942919868
17,4,Clear,False,1.18835616438
18,4,Clear,False,1.01587301587
18,4,Clear,False,1.1601758794
18,4,Clear,False,0.361818181818
18,4,Clear,False,0.829303675048
18,4,Clear,False,0.480683977201
18,4,Clear,False,0.251612903226
19,4,Clear,False,0.37037037037
19,4,Clear,False,0.555818540434
20,4,Clear,False,0.115176964607
20,4,Clear,False,0.0681063122924
20,4,Clear,False,0.305668016194
20,4,Clear,False,0.192869666861
21,4,Clear,False,0.152995391705
21,4,Clear,False,0.168907071888
22,4,Clear,False,0.288238263503
3,5,Clear,True,0.189743589744
6,5,Clear,True,0.139705882353
7,5,Clear,True,0.144117647059
9,5,Partly-Cloudy,True,0.124904214559
10,5,Scattered-Clouds,True,0.0879120879121
13,5,Clear,True,0.324925816024
13,5,Mostly-Cloudy,True,0.338503649635
15,5,Mostly-Cloudy,True,0.128797886394
17,5,Mostly-Cloudy,True,0.117318435754
17,5,Clear,True,0.127708095781
18,5,Mostly-Cloudy,True,0.0946416144746
18,5,Mostly-Cloudy,True,0.107741420591
18,5,Clear,True,0.470954356846
18,5,Clear,True,0.161915621437
19,5,Scattered-Clouds,True,0.474804031355
19,5,Clear,True,0.120505992011
19,5,Clear,True,0.435684647303
20,5,Partly-Cloudy,True,0.238735709482
20,5,Clear,True,0.111179361179
20,5,Clear,True,0.094674556213
20,5,Partly-Cloudy,True,0.115897435897
21,5,Clear,True,0.147276395427
23,5,Clear,True,0.175773535221
23,5,Clear,True,0.129385964912
0,6,Clear,True,0.137832017229
0,6,Clear,True,0.107307439105
0,6,Clear,True,0.0555555555556
3,6,Clear,True,0.113531353135
5,6,Clear,True,0.13317572892
11,6,Mostly-Cloudy,True,0.249020705092
13,6,Clear,True,0.103072983355
13,6,Clear,True,0.318865740741
14,6,Overcast,True,0.0952762209768
14,6,Mostly-Cloudy,True,0.606796116505
14,6,Overcast,True,0.0697823303457
14,6,Clear,True,0.283924843424
15,6,Mostly-Cloudy,True,1.07502206531
16,6,Mostly-Cloudy,True,0.680935569285
16,6,Overcast,True,0.117752540347
16,6,Overcast,True,0.0735177865613
17,6,Overcast,True,0.133891213389
17,6,Mostly-Cloudy,True,1.1019935095
17,6,Clear,True,0.415448851775
18,6,Clear,True,0.143939393939
18,6,Mostly-Cloudy,True,1.16376892877
8,0,Clear,False,1.14285714286
19,6,Mostly-Cloudy,True,0.310015898251
19,6,Clear,True,0.102272727273
4,0,Clear,False,0.137075718016
6,0,Clear,False,0.0
6,0,Clear,False,0.0775623268698
6,0,Clear,False,0.0847772277228
7,0,Clear,False,0.214881334189
7,0,Clear,False,1.27415852334
8,0,Clear,False,0.128252788104
8,0,Clear,False,0.0901041666667
8,0,Clear,False,0.261021119541
8,0,Clear,False,0.110907982937
8,0,Clear,False,0.1893158388
9,0,Clear,False,1.58125
9,0,Clear,False,0.533718689788
9,0,Clear,False,0.637110980622
9,0,Clear,False,0.445414847162
9,0,Clear,False,0.372773536896
11,0,Clear,False,0.181818181818
14,0,Partly-Cloudy,False,0.205905826018
14,0,Clear,False,0.188010899183
